,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Latitude,Longitude
4980,750000,950.0,94,3,4,1,2,1,0,1,0,Brooklin/São Paulo,-23.612298,-46.681999
4981,954000,1180.0,100,3,4,3,2,1,0,1,0,Brooklin/São Paulo,-23.624773,-46.689663
4982,1180000,1211.4771464170472,125,3,4,3,2,1,0,1,1,Brooklin/São Paulo,-23.624773,-46.689663
4983,2790000,1650.0,225,4,4,3,4,1,0,1,0,Brooklin/São Paulo,-23.614144,-46.688294
4984,555000,492.0,41,1,2,1,1,1,0,1,0,Brooklin/São Paulo,-23.614331,-46.686158
4985,440000,450.0,34,1,2,1,1,1,1,1,0,Brooklin/São Paulo,-23.61244,-46.68121
4986,847000,1020.0,83,3,3,1,2,1,0,1,0,Brooklin/São Paulo,-23.624752,-46.683948
4987,1340000,1050.0,105,2,3,2,2,1,0,1,0,Brooklin/São Paulo,-23.614441,-46.686832
4988,1100000,1700.0,92,3,3,1,2,1,1,1,0,Vila Olimpia/São Paulo,-23.601284,-46.678802
4989,1400000,800.0,83,2,3,2,2,1,0,1,0,Vila Olimpia/São Paulo,-23.599474,-46.675614
4990,1650000,1500.0,136,2,5,2,2,1,0,1,0,Vila Olimpia/São Paulo,-23.599257,-46.679927
4991,1195000,700.0,76,2,2,1,2,1,0,0,0,Vila Olimpia/São Paulo,-23.598468,-46.679859
4992,1200000,840.0,96,3,3,1,2,0,0,1,0,Vila Olimpia/São Paulo,-23.598272,-46.675348
4993,1950000,1500.0,111,3,4,1,2,0,0,1,0,Vila Olimpia/São Paulo,-23.59433,-46.688316
4994,3700000,2100.0,210,4,7,3,3,1,1,1,0,Vila Olimpia/São Paulo,-23.600786,-46.680126
4995,1100000,786.0,94,3,2,1,1,0,0,1,0,Vila Olimpia/São Paulo,-23.592874,-46.685373
4996,1155805,1011.6562568984175,82,2,3,2,2,0,0,0,0,Vila Olimpia/São Paulo,-23.596742,-46.674286
4997,780000,807.6873128248386,85,3,2,1,1,0,0,0,0,Vila Olimpia/São Paulo,-23.596107,-46.675538
4998,1485000,1058.0,127,3,3,1,2,1,1,1,0,Vila Olimpia/São Paulo,-23.600103,-46.675411
4999,2400000,1600.0,138,3,5,3,2,1,0,1,0,Vila Olimpia/São Paulo,-23.594329,-46.688316
5000,1950000,500.0,136,3,5,3,3,1,0,1,0,Vila Olimpia/São Paulo,-23.598966,-46.688512
5001,807000,1488.0,105,3,3,1,1,1,0,0,0,Vila Olimpia/São Paulo,-23.595104,-46.676923
5002,2650000,2410.140211260188,206,4,1,4,3,0,0,0,0,Vila Olimpia/São Paulo,-23.600556,-46.674643
5003,1162756,1071.8572367285124,95,3,3,1,2,1,0,1,0,Vila Olimpia/São Paulo,-23.604074,-46.675494
5004,1600000,1397.7359936820117,112,3,3,1,2,1,0,1,0,Vila Olimpia/São Paulo,-23.604197,-46.678332
5005,775000,937.0,98,3,2,1,1,0,0,0,0,Vila Olimpia/São Paulo,-23.602791,-46.675565
5006,8000000,5809.655029789186,278,4,5,3,5,1,0,1,0,Vila Olimpia/São Paulo,-23.596469,-46.680587
5007,350000,972.0,33,1,2,1,1,1,1,1,0,Vila Olimpia/São Paulo,-23.592855,-46.687697
5008,8039200,5832.283446685097,278,4,7,4,4,1,1,1,0,Vila Olimpia/São Paulo,-23.596469,-46.680587
5009,590000,500.0,51,1,2,1,1,0,1,0,0,Vila Olimpia/São Paulo,-23.596689,-46.67789
5011,1360000,1272.161237275506,115,3,4,3,2,1,0,1,0,Vila Olimpia/São Paulo,-23.598468,-46.679859
5012,1780000,2500.0,164,4,4,3,3,1,1,1,0,Vila Olimpia/São Paulo,-23.598769,-46.679415
5013,1106996,836.5265142720143,48,1,2,1,2,1,0,1,0,Vila Olimpia/São Paulo,-23.596525,-46.679154
5014,1053000,1729.0,60,2,2,1,1,0,1,1,0,Vila Olimpia/São Paulo,-23.593963,-46.688757
5015,1250000,729.0,81,2,3,2,2,1,0,1,0,Vila Olimpia/São Paulo,-23.599474,-46.675614
5016,610000,761.0,53,1,2,1,1,1,0,0,0,Vila Olimpia/São Paulo,-23.5989,-46.681596
5017,1297500,950.0,173,4,4,3,3,1,0,1,1,Mooca/São Paulo,-23.5598941,-46.6042432
5018,2180000,1500.0,221,4,4,3,4,1,0,1,0,Mooca/São Paulo,-23.5509876,-46.5909082
5019,940000,1016.7473418630929,112,3,2,1,2,0,0,0,0,Mooca/São Paulo,-23.561876297,-46.6012077332
5020,900000,800.0,120,3,3,2,3,0,1,1,0,Mooca/São Paulo,-23.5655354,-46.6018887
5021,880000,650.0,102,3,2,1,2,0,0,1,0,Mooca/São Paulo,-23.5485189,-46.5945998
5022,970000,701.0,126,3,4,3,2,0,1,1,0,Mooca/São Paulo,-23.5491967,-46.595386
5023,699000,850.0,89,3,2,1,2,0,0,0,0,Mooca/São Paulo,-23.5618983,-46.5780838
5024,635000,920.0,98,3,2,1,2,0,0,1,0,Mooca/São Paulo,-23.5568517,-46.6043505
5025,915000,756.0,30,3,1,0,2,0,1,1,0,Mooca/São Paulo,-23.5582057,-46.595508
5026,550000,780.0,80,3,2,1,2,0,0,1,0,Mooca/São Paulo,-23.5568517,-46.6043505
5027,365000,900.0,51,1,1,0,1,0,1,1,0,Mooca/São Paulo,-23.5578196,-46.6068783
5028,423500,950.0,90,3,2,0,2,0,0,0,0,Mooca/São Paulo,-23.5608424,-46.59463
5029,750000,760.0,107,3,2,1,2,0,1,0,0,Mooca/São Paulo,-23.5603888,-46.595026
5030,620000,706.6820465169726,83,3,2,1,1,0,0,1,0,Mooca/São Paulo,-23.55736,-46.6046844
5031,800000,1200.0,120,4,2,1,2,0,0,1,0,Mooca/São Paulo,-23.5650862,-46.5910806
5032,540000,600.0,50,2,2,1,1,0,0,1,0,Mooca/São Paulo,-23.5569867,-46.5916084
5033,920000,900.0,112,3,2,1,2,0,0,1,0,Mooca/São Paulo,-23.5616363,-46.6015043
5034,713990,530.0,86,2,2,1,1,0,0,0,0,Mooca/São Paulo,-23.55736,-46.6046844
5035,745000,750.0,92,3,2,1,2,0,0,1,0,Mooca/São Paulo,-23.561991,-46.5871744
5036,435000,465.90186711538206,52,2,1,0,1,1,0,1,1,Mooca/São Paulo,-23.5471924,-46.6056923
5037,990000,990.0,118,3,4,3,2,1,0,1,0,Mooca/São Paulo,-23.5584436,-46.5934512
5038,460000,600.0,63,2,2,1,1,0,0,1,0,Mooca/São Paulo,-23.559749,-46.5828386
5039,705000,967.536101778546,132,3,2,1,1,0,0,0,0,Mooca/São Paulo,-23.5696671,-46.5915167
5040,399000,550.0,60,2,2,1,1,0,0,1,0,Mooca/São Paulo,-23.5659633,-46.5913333
