,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,district_class
161,229310,480.0,60,2,1,0,1,1,0,0,C
162,580000,1368.0,125,3,2,1,1,0,0,1,C
163,270000,300.0,77,2,1,0,1,1,0,0,C
164,490245,550.0,65,2,2,1,1,0,0,1,C
165,530000,589.8961909034326,68,2,2,1,2,0,0,0,C
166,320000,740.0,55,2,1,0,1,0,0,1,C
167,480000,578.3221762873463,72,3,1,0,1,1,0,0,C
168,1408000,1600.0,108,2,3,2,2,0,0,0,B
169,579000,390.0,63,2,2,1,1,0,0,1,B
170,670000,790.0,63,2,2,1,2,0,0,1,B
171,540000,1000.0,75,2,1,0,1,0,0,0,B
172,1400000,1200.0,125,3,4,3,3,0,0,1,B
173,980000,1200.0,83,1,2,1,1,0,1,1,B
174,870000,900.0,97,3,2,1,1,0,0,1,B
175,1800000,2090.0,158,2,3,2,2,0,0,1,B
176,1400000,1850.0,152,3,3,2,3,0,0,1,B
177,640000,880.0,59,2,2,1,1,0,0,1,B
178,1300000,1900.0,136,3,3,2,3,0,0,1,B
179,926012,700.0,79,2,2,1,2,0,0,0,B
180,1260545,1500.0,105,3,4,3,2,1,0,0,B
181,1198000,1450.0,119,2,2,1,2,0,0,1,A
182,585000,900.0,50,1,2,1,1,0,0,1,B
183,1259000,850.0,80,2,2,1,1,0,0,1,B
184,1770000,2800.0,180,4,3,2,4,0,0,1,B
185,980862,988.468871344362,100,3,2,1,2,0,0,1,C
186,2109500,3400.0,315,4,5,4,4,0,0,1,B
187,1300000,1200.0,139,4,2,1,1,0,0,1,B
188,800000,1481.0,76,2,2,1,2,1,0,0,B
189,1950000,1600.0,138,2,3,2,2,0,0,0,B
190,1462500,900.0,128,3,4,3,3,0,0,1,B
191,1380000,1581.9374930725571,184,3,2,1,2,1,0,0,B
192,1200000,2217.0,121,3,2,1,3,0,0,0,B
193,592617,613.0756290893394,65,2,2,1,1,1,0,1,B
194,1950000,2600.0,210,3,2,1,2,0,0,0,B
195,1300000,1800.0,169,3,4,3,2,0,0,0,B
196,850000,1680.0,116,3,2,1,2,0,0,1,B
197,620000,870.0,62,2,2,1,1,0,0,1,B
