,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,mean_price/m,std_price/m,district_class
99,1000,320.0,50,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
100,1441,733.0,70,2,2,1,1,1,1,0,29.89023813563203,15.687458326582117,D
101,1200,835.0,56,2,2,1,1,0,0,1,29.32834936571854,14.841037015136015,D
102,1400,550.0,72,2,2,1,1,1,0,0,29.89023813563203,15.687458326582117,D
103,3100,650.0,114,3,3,1,2,1,1,1,31.98361367873975,16.256562568320263,D
104,1200,130.0,40,1,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
105,2200,983.7625318484392,106,3,2,1,1,1,0,1,35.70183671780869,21.894769921815232,D
106,1350,320.0,50,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
107,1500,870.0,77,3,2,1,2,1,0,1,29.89023813563203,15.687458326582117,D
108,1900,546.0,61,2,2,1,1,0,0,1,30.058304914488353,15.139146507512537,D
109,3000,1500.0,198,3,2,1,3,0,0,1,33.50068376650558,17.87443028654088,D
110,1200,100.0,35,2,2,1,1,0,0,0,57.232647234429116,30.03211462514222,D
111,1500,870.0,78,3,2,1,2,0,0,1,29.89023813563203,15.687458326582117,D
112,1300,583.0,72,2,2,1,1,1,0,1,29.89023813563203,15.687458326582117,D
113,1280,560.0,62,2,2,1,1,1,0,1,30.058304914488353,15.139146507512537,D
114,1200,450.0,50,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
115,1300,568.8392814981504,65,3,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
116,850,415.0,50,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
117,900,465.0,48,2,2,1,1,1,0,0,36.99486182214457,21.366743561269978,D
118,1400,360.0,66,3,2,1,1,1,0,1,30.058304914488353,15.139146507512537,D
119,1800,480.0,82,3,2,1,1,1,1,0,29.96586380462771,14.511229657479197,D
120,1200,553.9980964241361,64,3,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
121,700,224.81639118404465,30,1,2,1,1,0,0,0,57.232647234429116,30.03211462514222,D
122,500,388.56392300637583,50,1,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
123,1200,290.0,46,2,2,1,1,1,0,0,36.99486182214457,21.366743561269978,D
124,1100,300.0,50,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
125,1500,530.0,63,3,2,1,1,1,0,1,30.058304914488353,15.139146507512537,D
126,1100,498.0,47,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
127,1100,442.0,67,2,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
128,1300,415.0,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
129,1200,350.0,56,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
130,1300,612.8006228550504,70,3,2,1,1,0,0,0,29.89023813563203,15.687458326582117,D
131,1800,482.0,82,3,2,1,1,1,1,0,29.96586380462771,14.511229657479197,D
132,1346,430.9454908852823,49,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
133,1000,330.0,50,2,2,1,1,0,0,1,29.32834936571854,14.841037015136015,D
134,1350,400.0,47,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
135,1000,594.6538724471474,70,2,2,1,1,0,0,0,29.89023813563203,15.687458326582117,D
136,850,415.0,50,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
137,950,430.0,60,2,2,1,1,1,0,1,30.058304914488353,15.139146507512537,D
138,700,250.0,47,2,2,1,1,1,0,0,36.99486182214457,21.366743561269978,D
139,1850,490.0,92,3,2,1,1,1,1,0,31.010996311706176,17.639604246052702,D
