,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
61,0.158577823638916,0.0031056018922426877,0.006434297561645508,0.0004683448010234398,0.8,0.2,3,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",-88288898548.76663,-66338612846.031845,-59469592432.17536,-54048342389.766884,-51348643363.44531,-63898817916.03721,13228646343.088453,74
62,0.14444456100463868,0.0015452258477331754,0.00618290901184082,0.0004118349811419543,0.8,0.2,3,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",-89980953397.05696,-56704121235.59898,-52794439446.36699,-54609341925.59465,-56936606271.94877,-62205092455.31328,13969766628.287106,34
63,0.08911657333374023,0.002894643101047574,0.005739545822143555,0.0003854271121709462,0.8,0.2,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",-90386830432.45238,-65602892418.8828,-52673315953.13712,-56019866137.221245,-45552094674.508446,-62046999923.240395,15569615003.217115,32
64,0.08830780982971191,0.0011653223736076983,0.0058250904083251955,0.0004157872755172616,0.8,0.2,5,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.9}",-101815456953.35956,-72513597806.25346,-59765312034.9242,-51815666220.846016,-46906941191.139984,-66563394841.30464,19637710650.08564,123
65,0.08345355987548828,0.0011973404172193642,0.005825328826904297,0.00041653409540635917,0.8,0.2,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",-103342421873.14267,-65999999781.64809,-48718810120.54082,-56780633721.68901,-52190464196.17151,-65406465938.63843,19834488021.033382,103
66,0.16065187454223634,0.0024288436231243026,0.006229972839355469,0.00039570459064085884,0.8,0.2,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",-91297715157.7641,-67382913950.20357,-54700060257.26717,-58462474552.93015,-47440245653.342384,-63856681914.301476,15151799830.894794,71
67,0.1593637466430664,0.002048133062917339,0.00699310302734375,0.0010735106373709695,0.8,0.2,5,200,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.9}",-101515627147.94922,-74025675550.31433,-61271679276.17896,-53253299418.62438,-48892972149.31572,-67791850708.476524,18906101604.542206,142
68,0.15142388343811036,0.0017610047737715445,0.00626220703125,0.0003775525616341692,0.8,0.2,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",-104382201207.91681,-66465769987.47705,-49673570868.12522,-58104475695.65343,-55205853816.35176,-66766374315.10484,19574875975.926937,128
69,0.2346182346343994,0.002066236309067693,0.006767749786376953,0.0007875521813739567,0.8,0.2,5,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",-91315860803.42816,-68619328346.40887,-54784165686.72295,-59208420670.16902,-48322860100.05003,-64450127121.35581,14967597827.866302,89
70,0.2340850830078125,0.001520539515890089,0.006447935104370117,0.000514910648542882,0.8,0.2,5,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.9}",-99902837207.45001,-75348674087.97488,-62146397664.98155,-53648301198.230644,-50040481836.173515,-68217338398.96212,18079480436.716473,151
71,0.23114285469055176,0.013451866768799755,0.007204389572143555,0.0007509285494480181,0.8,0.2,5,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",-104908138432.7291,-67020244944.81483,-50642967115.494064,-59257734627.23626,-56052651694.88519,-67576347363.03188,19404670163.02508,140
72,0.13111329078674316,0.002335194158383663,0.005897235870361328,0.00037232117080100024,0.8,0.2,7,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",-95557693083.60774,-77700704879.4753,-51925978760.62282,-49993067813.43565,-54048861273.10078,-65845261162.04846,17930831900.961967,112
73,0.13107404708862305,0.0038129651386946645,0.006636714935302735,0.0005240361531561019,0.8,0.2,7,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.9}",-99996319875.51901,-69094131838.89328,-61105389964.29643,-59776045851.24701,-51424197820.77189,-68279217070.14553,16819620010.370203,152
74,0.12601981163024903,0.0024971591874971685,0.006260824203491211,0.00045629497695187285,0.8,0.2,7,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",-107929374523.06857,-79355402342.27509,-49276397960.038864,-59280183158.31645,-52780289415.19331,-69724329479.77846,21756293897.504143,170
75,0.252482271194458,0.003053076420463545,0.007644128799438476,0.000770818591956469,0.8,0.2,7,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",-94975683717.5871,-80099002055.08221,-53850950489.936646,-51171614739.12362,-55399572331.81127,-67099364666.70817,17390678955.637527,134
76,0.25395874977111815,0.005449871020108335,0.006977272033691406,0.0006365760953220912,0.8,0.2,7,200,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.9}",-99655378887.63585,-71368826917.6423,-62665597310.53753,-61597484569.80728,-52535797740.77533,-69564617085.27965,16184940417.588675,169
77,0.24139690399169922,0.0031462321784375686,0.006864500045776367,0.00036811419099298906,0.8,0.2,7,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",-109087186283.9234,-80518581630.74132,-49989441976.475075,-60979041358.247765,-53781252163.03209,-70871100682.48393,21815143903.94797,181
78,0.3805142879486084,0.012213813689940614,0.007946538925170898,0.001078166273496345,0.8,0.2,7,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",-94849131924.11397,-81094023178.66087,-53523640097.36358,-51626695148.714096,-55698521551.29323,-67358402380.02915,17431279760.0166,138
