,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32,2.4714430809020995,0.010888753813537662,0.04692378044128418,0.0006602286431514866,10,1,5,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-3216252.726090741,-5177390.467509463,-3489444.1508879885,-3696824.6098648487,-3974491.221292611,-3910880.6351291304,680298.4766122357,9
33,0.7982017517089843,0.004877293048342381,0.017042016983032225,0.00025622606764423713,10,1,10,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-3471714.887359346,-5278628.075739375,-3556416.553122838,-3829858.1360978927,-4149858.9348775716,-4057295.317439405,655092.8755317772,93
34,1.5982268810272218,0.008147121652076124,0.03163824081420898,0.0002900522318171812,10,1,10,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-3357151.018154991,-5334079.908971051,-3500934.565881856,-3801152.584128714,-4052033.359069484,-4009070.2872412195,704830.0134376308,63
35,2.381555461883545,0.008658340500625776,0.04608416557312012,0.0005067344239975216,10,1,10,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-3375592.18601452,-5260750.809894832,-3536867.700530805,-3808699.099397329,-4034941.9642990227,-4003370.3520273017,668076.2574294572,60
36,0.827520227432251,0.0029218732186171827,0.017406177520751954,0.0005010889600323763,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-3295796.846125359,-5148468.408709282,-3581204.1940937163,-3689578.491747289,-4110942.8415101087,-3965198.156437151,646975.375121229,39
37,1.6780999183654786,0.03642601239073334,0.033064746856689455,0.0010366913750421175,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-3199321.059712081,-5302793.426249673,-3502283.4645567015,-3677906.8200382004,-4021521.5782487383,-3940765.269761079,731128.2589435944,31
38,2.4619577884674073,0.00499062556940537,0.047322320938110354,0.00031894462328268126,10,2,2,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-3221299.151080382,-5272001.527821742,-3528243.8048426546,-3669526.1603640066,-4026656.4647509074,-3943545.4217719384,712868.1133758959,32
39,0.816102933883667,0.0029931630083277396,0.017110252380371095,0.0001347611831120034,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-3317202.012940738,-5147152.387100232,-3559207.061732761,-3702874.469639742,-4117723.5720529277,-3968831.9006932797,644011.6882363245,40
40,1.6441891670227051,0.03272394249368043,0.03236823081970215,0.0013658801545280235,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-3204409.0436364533,-5258635.0765219,-3501393.5252848803,-3683590.761288736,-4018236.0834492133,-3933252.8980362364,713289.1595005764,29
41,2.4431765556335447,0.006624163640893072,0.04734792709350586,0.000746050594691657,10,2,5,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-3227758.3336228332,-5195718.168969401,-3534652.717170975,-3666189.5410552975,-4015414.7024040716,-3927946.6926445155,682401.0352535578,27
42,0.7873868942260742,0.0029651640289065635,0.017058372497558594,0.0006702349378227099,10,2,10,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-3479050.0558950827,-5223934.992463781,-3541918.937483465,-3842175.8445341233,-4109283.399536065,-4039272.645982503,633779.708057437,71
43,1.5754488468170167,0.006638860636928004,0.03166022300720215,0.0006897260453646319,10,2,10,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-3400199.030531758,-5286918.729619451,-3505813.2800828367,-3792547.4800810083,-4046240.833669917,-4006343.8707969943,678986.7558352891,62
44,2.354650354385376,0.010117461148285593,0.045765018463134764,0.0003536071010153132,10,2,10,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-3417480.7354211775,-5203104.162490964,-3530871.5097358725,-3779987.549305735,-4040767.452064049,-3994442.2818035595,641370.8571858518,58
45,0.7862498760223389,0.002387029515934143,0.01693120002746582,0.0005461638273669913,10,4,2,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-3377767.937694322,-5380798.987923127,-3599608.054050397,-3875627.274666479,-4149193.1430616607,-4076599.0794791975,701780.9300130948,103
46,1.560097885131836,0.0029471556052022333,0.030973243713378906,0.00019390425762925637,10,4,2,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-3336202.480074716,-5359906.726328606,-3573774.4931480642,-3867076.827570444,-4125983.5923461746,-4052588.8238936006,705883.0140725242,84
47,2.337650442123413,0.007411479548982129,0.04617929458618164,0.0003598115691201779,10,4,2,300,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-3366099.5267973067,-5320836.724209314,-3625722.8725488284,-3854773.387699647,-4116170.844526302,-4056720.6711562797,678973.2088139837,89
48,0.7844244480133057,0.004087360232499078,0.01722097396850586,0.0007089271150938825,10,4,5,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-3377767.937694322,-5380798.987923127,-3599608.054050397,-3875627.274666479,-4149193.1430616607,-4076599.0794791975,701780.9300130948,103
49,1.5708081722259521,0.00978428870801442,0.03134641647338867,0.00046952970245173436,10,4,5,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-3336202.480074716,-5359906.726328606,-3573774.4931480642,-3867076.827570444,-4125983.5923461746,-4052588.8238936006,705883.0140725242,84
50,2.353700351715088,0.02518541102537221,0.04556527137756348,0.0004681641177583141,10,4,5,300,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-3366099.5267973067,-5320836.724209314,-3625722.8725488284,-3854773.387699647,-4116170.844526302,-4056720.6711562797,678973.2088139837,89
51,0.7729668617248535,0.0033008007678458355,0.017121267318725587,0.00038913655919060083,10,4,10,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-3463559.991036013,-5362918.530533778,-3563052.9174081655,-3881802.013856835,-4150828.0968798404,-4084432.3099429263,683712.4192232217,108
52,1.547812557220459,0.005442720389793875,0.030904579162597656,0.0006265648677826077,10,4,10,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-3425242.9843801656,-5354700.174923927,-3550389.974467169,-3863137.574919991,-4134574.018630102,-4065608.9454642707,690366.0170180941,95
